culture|n.U,C 문화(cf. KULTUR), 정신 문명, 개화popular culture 대중 문화U 교양, 세련;(인간의) 지적·예술적 활동;그 성과(물)a man of culture 교양 있는 사람U 훈련, 수양physical culture 체육U 재배, 양식;사육;(토지의) 경작culture of cotton 목화 재배the culture of oysters 굴 양식U,C (세균 등의) 배양;배양균    vt.〈세균을〉 배양하다《시어》 재배하다, 경작하다《드물게》 교화하다
experience|n.U 경험, 체험learn by[from] experience 경험에 의하여 배우다Experience teaches. 경험은 사람을 영리하게 한다.U 경험 내용 《경험으로 얻은 지식·능력·기능》a man of ripe experience 경험이 풍부한 사람경험[체험]한 일have a pleasant[trying] experience 즐거운[쓰라린] 경험을 하다[pl.] 경험담;종교적 체험(담)【철학】 경험《속어》 마약의 체험    vt.경험하다, 체험하다experience both joy and sorrow 기쁨과 슬픔도 경험하다경험하여 알다 《how, that ...》
education|n., U교육, 훈련intellectual[moral, physical] education 지육[덕육, 체육]get[give] a good education 훌륭한 교육을 받다[시키다][때로 an ~] (직업을 위한) 전문적 교육[때로 an ~] 학교 교육a university[college] education 대학 교육(품성·능력 등의) 도야, 훈육, 양성(養成)교육학, 교수법(동물을) 길들임, 훈련(training);(꿀벌·박테리아 등의) 사육, 배양
symbol|n.상징, 표상(表象), 심벌The cross is the symbol of Christianity. 십자가는 그리스도교의 상징이다.기호, 표, 부호a phonetic symbol 발음 기호the chemical symbol 화학 기호신조(信條)(creed)【정신의학】 상징 《억압된 무의식의 욕망을 나타내는 행위[것]》    v.(~ed;~·ing|~led;~·ling) vt., vi. =SYMBOLIZE
effect|n.U,C 결과(consequence)(⇒ result 유의어)cause and effect 원인과 결과, 인과U,C 효과, 영향;(법률 등의) 효력;(약 등의) 효험, 효능;[pl.] 【음악】 의성음 발음기(器)side effects 부작용(색채·형태의) 배합, 광경;감명, 영향, 인상;[pl.] 【연극】 효과sound[lighting] effects 음향[조명] 효과U 외양, 체면, 체재love of effect 겉치레[the, that과 함께] 취지, 의미(purport, meaning)the general effect 대의(大意)I received a letter to the following effect. 다음과 같은 취지의 편지를 받았다.[pl.] 동산;물품, 물건;개인 자산, 소유물household effects 가재(家財)(물리·화학적) 효과the Doppler effect 도플러 효과    vt.〈변화 등을〉 초래하다;〈목적·계획 등을〉 달성하다, 이루다
liberty|n., (pl. -ties)U (압정(壓政)·폭력적 지배로부터의) 자유;해방, 석방, 방면(opp. captivity)(⇒ freedom 유의어) ★ 엄밀히 따지면 freedom과는 달리 과거에 제한·억압 등이 있었음을 암시함.(언론·행동·사상 등의) 자유, 임의(任意), 권리(opp. slavery)liberty of conscience 신교(信敎)[양심]의 자유liberty of speech[the press] 언론[출판]의 자유natural liberty 천부의 자유권 《자연법에만 복종하는 상태》religious liberty 신앙의 자유U 【항해】 (단기의) 상륙 허가;(일반적인) 허가(permission)a liberty day 상륙(허가)일[the ~] 출입의 자유The visitors were given the liberty of the city. 방문자들은 그 도시를 자유롭게 돌아다닐 수 있도록 허가받았다.멋대로 함, 지나친 자유;[the ~] 무례(한 행동) 《보통 take와 함께 쓰임》be guilty of a liberty 마음대로[버릇없이] 행동하다《liberty+to do》 I shall take the liberty to remind you of it. 그것을 상기하시도록 감히 말씀드리겠습니다.《liberty+전+-ing》 I take the liberty of telling you this. 당돌합니다만[실례를 무릅쓰고] 이 일을 말씀드리겠습니다.[pl.] 《문어》 (칙허·시효로 얻은) 특권(privileges) 《자치권·선거권 등》(동전 등의) 자유의 여신상《영·고어》 특권을 가진 구역, 자유 구역
affair|n.사건, 일(event)an affair of great moment 중대 사건일거리(business);[보통 pl.] 사무, 직무, (일상의) 업무, 할 일, 용무;[보통 one’s ~] 개인적인 문제[관심사]family affairs 집안일, 가사private[public] affairs 사무(私務)[공무]the affairs of another 남의[자기와 관계없는] 일the affairs of state 나랏일, 국사current affairs 시사 (문제)Attend to[Mind] your own affair. 네 할 일이나 해라.[보통 형용사와 함께] 《구어》 (막연한) 것, 물건(thing)a laborious affair 고된 일a difficult affair to manage 처리하기 어려운 문제The new chair is a badly made affair. 이 새 의자는 형편없이 만들어졌다.[pl.] 상황, 정세(일시적인 불륜의) 정사, 연애 사건(=love ~)have an affair with …와 정사를 가지다[종종 고유 명사와 함께] …사건, 추문, 스캔들the Watergate affair 워터게이트 사건모임, 파티a social affair 친목 파티
comfort|vt.위안하다, 위로하다(console)〈몸·사람을〉 편하게 하다    n.U 위로, 위안words of comfort 위로의 말[a ~] 위로가 되는 사람[것];위문품;(침대의) 이불;[pl.] 생활을 즐겁게 해주는 것[설비]She is a great comfort to her parents. 그녀는 부모님에게 큰 위로가 된다.The hotel has every modern comfort. 그 호텔에는 현대적이고 쾌적한 온갖 설비가 있다.U 낙(樂), 마음 편안함;안락live in comfort 안락하게 살다《폐어》 원조, 조력(助力)
tradition|n.U,C 전통, 관례;【미술·문학】 (유파의) 전통 (양식), 식(式), 형(型)break with tradition 전통과 결별하다follow tradition 전통을 따르다U,C 전설, 구전(口傳), 구비(口碑);전승(傳承)a story that has come down to us by popular tradition 민간 전승으로 오늘날까지 전해져 온 이야기【법】 (정식의 재산) 인도(引渡), 교부(交付)【그리스도교】 성전(聖傳) 《구전으로 전하는 불문율》
subject|n.(토론·연구·이야기 등의) 주제(主題), 당면 과제, 문제;연제(演題)(학교의) 학과, (시험) 과목《문어》 (…의) 동기, 주인(主因), 기인(起因) 《for, of》a subject for complaint 불평의 원인(행위·감정의) 대상, (…을) 받는 사람, 표적 《for, of》a subject of debate[investigation] 논의[조사]의 대상【음악】 테마, 악제(樂題), 주제【미술】 제재(題材);화제(畵題);(사진의) 피사체백성, 국민;신하, 부하;피지배자【문법】 주어, 주부(cf. PREDICATE)(의학·심리학 등의) 피실험자, 환자, 실험 재료;(최면술 등의) 피술자(被術者)해부용 시체(cadaver)[수식어와 함께] (육체적 정신적으로) …성(性)[질(質)]인 사람a sensitive subject 민감한 사람【논리】 주위(主位), 주사(主辭), 주어【철학】 주체, 주관, 자아(opp. object)실체, 물자체(物自體)    a.P (…의) 영향을 받는[받기 쉬운], (…에) 의존하는;(피해 등을) 입기 쉬운 《to》The prices are subject to change. 가격은 바뀌는 수가 있습니다.He is subject to colds. 그는 감기에 잘 걸린다.《문어》 A (군주·국가 등의) 지배를 받는, 복종하는;종속하는, 속국[속령]의 《to》P (…을) 겪는, 당하는;(…할) 수밖에 없는 《to》All beings are subject to death. 사람은 누구나 죽는다.P (동의·비준 등을) 조건으로 하는, 필요로 하는, (승인 등을) 받아야 하는 《to》The plan is subject to your approval. 이 계획은 귀하의 승인을 요합니다.[부사적으로] (…을 얻을 것을) 조건으로 하여, 조건부로 《to》, (…을) 가정(假定)하여 《to》Subject to your consent, I will try again. 승낙해 주신다면 한 번 더 해보겠습니다.    vt.[səbdʒékt](…에) 복종[종속]시키다, 〈사람·정신 등을〉 지배하다 《to》《subject+목+전+명》 subject a nation to one’s rule 국민을 자기 통치하에 복종시키다(…에) 제시하다, 위임하다 《to》《subject+목+전+명》 subject new policies to public discussion 새로운 정책을 대중의 토의에 부치다[종종 ~ oneself로, 또는 수동형으로] …에게 (싫은 일을) 당하게 하다, 겪게 하다 《to》《subject+목+전+명》 subject oneself to ridicule 조소를 받다be subjected to severe criticism 혹평을 받다〈물건을〉 (…에) 대다, 쬐다 《to》subject metal to intense heat 금속을 고열에 쬐다
